metric,value
detected,true
detection_time_seconds,14.6917
detection_node_id,20
uav_count,1
uav_0_path_length_meters,612.556
total_uav_path_length_meters,612.556
cooperation_overlap_ratio,0
cooperation_gain,0
total_nodes,100
candidate_nodes,30
total_fragments_delivered,0
fragments_from_uav,0
uav_0_fragment_count,10
uav_0_fragment_ids,0,1,2,3,4,5,6,7,8,9
fragment_0_size_bytes,18289
fragment_1_size_bytes,17332
fragment_2_size_bytes,13172
fragment_3_size_bytes,11989
fragment_4_size_bytes,11955
fragment_5_size_bytes,8813
fragment_6_size_bytes,8751
fragment_7_size_bytes,6192
fragment_8_size_bytes,1235
fragment_9_size_bytes,1144

[CONFIG]
grid_size,10
num_fragments,10
num_uavs,1
uav_altitude_m,20
uav_speed_mps,20
broadcast_interval_s,0.2
seed,1
run_id,999
